一个	3405770
我们	2965003
自己	2616155
没有	2336325
可以	2258008
发展	2208432
中国	2099562
工作	2071023
什么	1926597
这个	1912835
就是	1843555
他们	1613120
问题	1601944
进行	1589688
社会	1547994
企业	1505100
经济	1433997
知道	1399254
这样	1274005
研究	1248056
现在	1209540
还是	1206163
因为	1193144
教育	1187454
国家	1184005
今天	1177465
时间	1150251
管理	1149415
不能	1147407
市场	1123687
活动	1121910
建设	1116649
已经	1114259
如果	1105460
怎么	1102307
技术	1069223
重要	1057696
生产	1055853
生活	1031886
世界	1027264
时候	1002192
一种	1002030
第一	999750
吗？	986707
喜欢	960028
人民	959284
大家	956720
这种	953224
开始	951727
通过	944130
需要	934261
一定	932101
可能	912173
提高	909326
你们	895645
也不	883941
学生	883643
这是	881308
哈哈	878590
中的	877019
方法	873779
主要	864118
系统	860375
这些	860081
一起	859548
影响	856445
发现	855558
这一	843995
要求	842671
自己的	827403
那么	825187
一些	823711
还有	823453
起来	821617
看到	816764
作用	808965
结果	805189
同时	803786
情况	794705
真的	788261
关系	784728
组织	783491
不同	781266
这么	774723
上海	768970
我国	765262
必须	755215
公司	750558
但是	747054
北京	746742
所以	739252
发生	731750
不知	730002
认为	725387
由于	723855
觉得	720454
也是	716368
治疗	712577
文化	711855
希望	703498
的时候	703361
政府	699571
成为	698201
出现	697697
方面	696776
领导	692797
为了	689967
的事	687854
服务	679274
美国	675157
只有	675025
产品	672476
具有	670273
在这	667627
使用	666670
作为	651285
只是	645957
有关	645246
两个	644742
环境	644709
科学	641008
目前	640279
因此	633926
全国	626361
思想	626279
设计	622156
信息	621955
国际	617048
学习	613021
分析	611383
过程	610821
一下	610499
应该	608871
基础	608087
一次	607326
一直	604638
出来	603686
而且	603238
控制	602949
东西	600922
能力	597756
部门	597611
支持	596072
记者	593684
精神	591806
城市	589588
孩子	585358
改革	583579
人员	583401
所有	578022
其中	573148
一样	572443
地方	571169
朋友	568855
各种	567888
不过	563851
得到	563633
那个	563101
实现	553710
基本	550089
结构	548833
最后	547968
质量	545919
细胞	545669
增加	544457
存在	544395
这里	543850
以及	540637
感觉	539098
女人	538134
工程	536371
形成	534103
一点	534083
采用	532570
代表	532188
不可	531857
个人	528232
提供	527222
建立	526421
第二	524692
特别	522868
选择	521102
学校	519823
根据	519465
开发	519418
方式	516680
然后	514289
之间	514157
今年	512403
虽然	512076
比较	511488
一般	510779
标准	509185
加强	508552
条件	508341
功能	507224
投资	504453
历史	503298
解决	501183
自然	501078
利用	500103
一个人	496448
处理	494873
很多	493588
男人	492894
知识	492060
继续	490441
制度	489978
一切	489757
到了	489507
其实	486028
明显	482175
可是	480801
提出	478301
获得	474831
安全	474126
理论	472224
别人	472200
其他	471068
说得好	471068
为什么	470483
我也	470156
应用	467757
人们	467387
不知道	467377
对于	467364
健康	464979
幸福	464021
参加	460879
过去	460329
现代	459540
回复	458770
决定	458088
产生	456346
以上	453475
干部	452700
变化	452360
新的	451596
一天	450287
努力	449871
教学	449866
群众	449603
资源	448957
不断	448835
许多	447068
项目	446816
表示	445604
规定	445510
的话	443319
我是	441461
以后	440932
完全	440293
成功	437618
非常	436690
如何	432874
那些	432851
有些	432793
实际	430375
有效	429832
积极	429195
认识	426976
直接	425883
单位	425389
明天	419364
政治	419306
完成	419069
小时	418742
表现	416890
经营	416681
之后	416595
部分	416517
患者	416300
让我	416007
终于	415485
中心	413949
关注	411735
达到	407526
并不	405941
我就	405135
保护	404231
坚持	403956
这样的	400908
进入	399665
任何	399186
日本	396713
才能	396077
事情	395788
原因	394186
内容	393309
注意	392504
行为	392407
给我	391495
看看	391336
包括	390222
进一步	387172
计算	386298
原来	385654
突然	385612
正在	384731
报道	383567
结合	383187
地区	382153
政策	381756
合作	381473
只要	380699
运动	379033
目标	377219
本报	376671
人生	374381
网络	373845
告诉	373486
如此	372766
无法	371159
我要	370978
快乐	368838
效果	368140
改变	367007
不仅	366841
计划	366470
准备	364143
检查	363589
不错	362352
是一个	362300
科技	361598
价值	361399
会议	361064
增长	360640
意义	360596
国内	359388
严重	358642
十分	357516
另一	357377
法律	356586
专业	356498
地址	356290
我们的	355301
每天	354194
最大	348286
促进	347743
正常	346989
的问题	346777
综合	346753
真是	345819
艺术	344665
稳定	344633
实施	344003
造成	343966
真正	343529
甚至	343495
能够	342921
传统	342862
责任	342509
生命	341403
数据	341181
价格	341034
经过	337684
了解	337443
实验	334962
机构	333978
社会主义	333051
工业	333013
电话	332174
回来	332150
第三	331707
保证	331654
临床	331382
大学	331196
调查	330925
教师	329735
培养	329104
因素	327901
开展	327446
农业	327058
材料	326124
晚上	325382
取得	324760
推荐	323548
开心	323484
转发	323483
回家	323422
参与	322852
三个	322849
程度	322580
有点	322260
产业	322100
以为	321742
相信	320680
或者	319852
分别	319385
永远	318880
更多	318839
个月	317802
都有	317341
而是	316773
引起	316760
形式	316610
重点	314894
根本	313990
同志	313260
充分	312645
农村	311342
接受	311047
机会	310804
只能	310695
分享	309918
关于	309611
几个	309235
全面	308935
减少	308574
措施	307931
人才	307777
资金	307340
多少	306918
也有	305935
以来	305293
任务	304415
建筑	303417
重要的	303208
容易	303197
保持	302325
是个	302052
是否	301902
实践	301568
经验	301492
随着	300054
竞争	299215
爱情	298054
创造	297655
每一	296428
当然	295513
最近	295448
分钟	294860
心理	293728
简单	292621
创新	291873
每个	291476
也没	291099
统一	289915
全部	288901
监督	288445
就会	287944
电影	286821
发挥	286773
总是	286379
整个	286341
了一个	286234
眼睛	286047
调整	285711
好好	285543
农民	285221
中央	285145
越来	285042
是一种	283848
越来越	283604
联合	283295
共同	283051
报告	282526
设备	281672
过程中	280669
看着	280215
目的	279668
帮助	278894
资料	278280
的影响	278160
试验	278157
来自	277493
人类	276989
心情	276939
确定	276738
劳动	276501
医院	276201
原则	275467
办法	275239
来了	275020
负责	274464
统计	273850
昨天	273616
是不是	273416
左右	273085
下来	273085
心里	272432
最好	272189
受到	272000
考虑	271885
有时	271796
速度	271723
说明	271671
反应	271344
老师	270881
消费	270679
采取	269622
很好	269561
行政	269382
事业	269332
